Date,Category,Category Group,Amount,Year,Month
2025-03-12,FUEL/TOLL,Transportation,1400.0,2025,3
2025-03-13,SHOPRITE,Supplies,224.95,2025,3
2025-03-13,WASI,Raw Materials,6435.62,2025,3
2025-03-14,FUEL/TOLL,Transportation,500.0,2025,3
2025-03-15,ELECTRICITY,Utilities,1500.0,2025,3
2025-03-15,SHOPRITE,Supplies,359.92,2025,3
2025-03-15,WAGES,Labor,17855.0,2025,3
2025-03-15,WASI,Raw Materials,7462.66,2025,3
2025-03-16,OTHER,Other Expenses,194.98000000000002,2025,3
2025-03-17,CHIPKINS,Raw Materials,18571.13,2025,3
2025-03-17,FUEL/TOLL,Transportation,1500.0,2025,3
2025-03-17,MAKRO,Supplies,778.0,2025,3
2025-03-17,OTHER,Other Expenses,505.0,2025,3
2025-03-17,SHOPRITE,Supplies,359.92,2025,3
2025-03-17,WASI,Raw Materials,8474.49,2025,3
2025-03-18,FUEL/TOLL,Transportation,1300.37,2025,3
2025-03-18,OTHER,Other Expenses,133.0,2025,3
2025-03-18,SHOPRITE,Supplies,314.93,2025,3
2025-03-18,WASI,Raw Materials,7198.61,2025,3
2025-03-19,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-20,CAVALIERI,Other Expenses,4906.73,2025,3
2025-03-20,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-20,SPICE AND PACK,Other Expenses,7157.54,2025,3
2025-03-21,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-23,SHOPRITE,Supplies,654.86,2025,3
2025-03-23,WASI,Raw Materials,9647.24,2025,3
2025-03-24,OTHER,Other Expenses,91.99,2025,3
2025-03-24,SHOPRITE,Supplies,404.91,2025,3
2025-03-24,WASI,Raw Materials,7646.45,2025,3
2025-03-25,CAVALIERI,Other Expenses,575.0,2025,3
2025-03-25,FUEL/TOLL,Transportation,1961.61,2025,3
2025-03-25,HYPER SWEETS,Raw Materials,600.0,2025,3
2025-03-25,MAKRO,Supplies,1327.8,2025,3
2025-03-25,OTHER,Other Expenses,50.0,2025,3
2025-03-25,SHOPRITE,Supplies,404.91,2025,3
2025-03-25,T/BANTU SWEETS,Raw Materials,256.0,2025,3
2025-03-25,WASI,Raw Materials,8418.33,2025,3
2025-03-26,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-27,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-27,OTHER,Other Expenses,50.0,2025,3
2025-03-27,SHOPRITE,Supplies,404.91,2025,3
2025-03-27,SPICE AND PACK,Other Expenses,7157.54,2025,3
2025-03-27,WASI,Raw Materials,7935.61,2025,3
2025-03-28,CHIPKINS,Raw Materials,4358.5,2025,3
2025-03-28,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-28,OTHER,Other Expenses,360.0,2025,3
2025-03-29,ELECTRICITY,Utilities,1500.0,2025,3
2025-03-29,SHOPRITE,Supplies,449.9,2025,3
2025-03-29,WAGES,Labor,16235.0,2025,3
2025-03-29,WASI,Raw Materials,10379.52,2025,3
2025-03-30,WASI,Raw Materials,184.98,2025,3
2025-03-31,CHIPKINS,Raw Materials,3708.75,2025,3
2025-03-31,FUEL/TOLL,Transportation,697.58,2025,3
2025-03-31,OTHER,Other Expenses,50.0,2025,3
2025-03-31,SHOPRITE,Supplies,413.91,2025,3
2025-03-31,WASI,Raw Materials,9033.42,2025,3
2025-04-01,CHIPKINS,Raw Materials,1713.5,2025,4
2025-04-01,FUEL/TOLL,Transportation,630.46,2025,4
2025-04-01,OTHER,Other Expenses,32.99,2025,4
2025-04-01,SHOPRITE,Supplies,385.91,2025,4
2025-04-01,T/BANTU SWEETS,Raw Materials,16.9,2025,4
2025-04-01,WASI,Raw Materials,7268.62,2025,4
2025-04-02,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-03,CHIPKINS,Raw Materials,16537.0,2025,4
2025-04-03,ELECTRICITY,Utilities,800.0,2025,4
2025-04-03,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-03,OTHER,Other Expenses,174.25,2025,4
2025-04-03,SHOPRITE,Supplies,449.91,2025,4
2025-04-03,SPICE AND PACK,Other Expenses,7157.54,2025,4
2025-04-04,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-04,OTHER,Other Expenses,588.0,2025,4
2025-04-04,WAGES,Labor,18670.0,2025,4
2025-04-05,ELECTRICITY,Utilities,800.0,2025,4
2025-04-05,OTHER,Other Expenses,192.98,2025,4
2025-04-06,FUEL/TOLL,Transportation,1650.0,2025,4
2025-04-06,OTHER,Other Expenses,220.0,2025,4
2025-04-06,SHOPRITE,Supplies,349.93,2025,4
2025-04-06,WASI,Raw Materials,3881.84,2025,4
2025-04-07,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-07,OTHER,Other Expenses,60.0,2025,4
2025-04-07,SHOPRITE,Supplies,449.91,2025,4
2025-04-07,WASI,Raw Materials,7033.48,2025,4
2025-04-08,CAVALIERI,Other Expenses,548.32,2025,4
2025-04-08,CHIPKINS,Raw Materials,16547.13,2025,4
2025-04-08,FUEL/TOLL,Transportation,657.89,2025,4
2025-04-08,OTHER,Other Expenses,30.0,2025,4
2025-04-08,T/BANTU SWEETS,Raw Materials,75.0,2025,4
2025-04-08,WASI,Raw Materials,7963.4,2025,4
2025-04-09,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-10,CHIPKINS,Raw Materials,3312.0,2025,4
2025-04-10,ELECTRICITY,Utilities,1500.0,2025,4
2025-04-10,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-10,OTHER,Other Expenses,49.0,2025,4
2025-04-10,SHOPRITE,Supplies,349.93,2025,4
2025-04-10,SPICE AND PACK,Other Expenses,7157.54,2025,4
2025-04-10,WASI,Raw Materials,6497.56,2025,4
2025-04-11,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-11,WAGES,Labor,14820.0,2025,4
2025-04-12,OTHER,Other Expenses,194.97,2025,4
2025-04-12,WASI,Raw Materials,6747.53,2025,4
2025-04-13,OTHER,Other Expenses,79.5,2025,4
2025-04-13,T/BANTU SWEETS,Raw Materials,181.0,2025,4
2025-04-14,CAVALIERI,Other Expenses,548.32,2025,4
2025-04-14,CHIPKINS,Raw Materials,33752.5,2025,4
2025-04-14,FUEL/TOLL,Transportation,1313.85,2025,4
2025-04-14,MAKRO,Supplies,1005.0,2025,4
2025-04-14,OTHER,Other Expenses,130.0,2025,4
2025-04-14,SHOPRITE,Supplies,479.85,2025,4
2025-04-14,T/BANTU SWEETS,Raw Materials,90.0,2025,4
2025-04-14,WASI,Raw Materials,7867.38,2025,4
2025-04-15,FUEL/TOLL,Transportation,962.0,2025,4
2025-04-15,OTHER,Other Expenses,119.98,2025,4
2025-04-15,SHOPRITE,Supplies,449.91,2025,4
2025-04-15,T/BANTU SWEETS,Raw Materials,16.9,2025,4
2025-04-15,WASI,Raw Materials,9543.25,2025,4
2025-04-16,ELECTRICITY,Utilities,1500.0,2025,4
2025-04-16,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-16,OTHER,Other Expenses,2640.0,2025,4
2025-04-16,SHOPRITE,Supplies,749.85,2025,4
2025-04-16,T/BANTU SWEETS,Raw Materials,180.0,2025,4
2025-04-16,WASI,Raw Materials,13966.23,2025,4
2025-04-17,FUEL/TOLL,Transportation,2881.19,2025,4
2025-04-17,SHOPRITE,Supplies,371.93,2025,4
2025-04-17,SPICE AND PACK,Other Expenses,7157.54,2025,4
2025-04-17,WASI,Raw Materials,6793.65,2025,4
2025-04-18,FUEL/TOLL,Transportation,600.0,2025,4
2025-04-18,OTHER,Other Expenses,90.0,2025,4
2025-04-18,SHOPRITE,Supplies,349.93,2025,4
2025-04-18,WASI,Raw Materials,7423.58,2025,4
2025-04-21,FUEL/TOLL,Transportation,850.0,2025,4
2025-04-21,SHOPRITE,Supplies,119.94,2025,4
2025-04-21,WASI,Raw Materials,6414.68,2025,4
2025-04-22,FUEL/TOLL,Transportation,2072.0,2025,4
2025-04-22,MAKRO,Supplies,5733.9,2025,4
2025-04-22,OTHER,Other Expenses,128.0,2025,4
2025-04-22,SHOPRITE,Supplies,599.9,2025,4
2025-04-22,WAGES,Labor,21565.0,2025,4
2025-04-22,WASI,Raw Materials,7924.45,2025,4
2025-04-23,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-24,FUEL/TOLL,Transportation,800.0,2025,4
2025-04-24,OTHER,Other Expenses,370.0,2025,4
2025-04-24,SHOPRITE,Supplies,609.1700000000001,2025,4
2025-04-24,SPICE AND PACK,Other Expenses,7157.54,2025,4
2025-04-24,WASI,Raw Materials,7601.61,2025,4
2025-04-25,FUEL/TOLL,Transportation,806.95,2025,4
2025-04-26,ELECTRICITY,Utilities,1500.0,2025,4
2025-04-26,OTHER,Other Expenses,145.0,2025,4
2025-04-26,SHOPRITE,Supplies,461.19,2025,4
2025-04-26,WAGES,Labor,21670.0,2025,4
2025-04-26,WASI,Raw Materials,7333.42,2025,4
2025-04-28,FUEL/TOLL,Transportation,673.0,2025,4
2025-04-28,OTHER,Other Expenses,106.99,2025,4
2025-04-28,SHOPRITE,Supplies,1488.55,2025,4
2025-04-28,WASI,Raw Materials,7530.6,2025,4
2025-04-29,CHIPKINS,Raw Materials,20531.88,2025,4
2025-04-29,FUEL/TOLL,Transportation,754.8,2025,4
2025-04-29,OTHER,Other Expenses,190.98,2025,4
2025-04-29,WASI,Raw Materials,7367.59,2025,4
2025-04-30,FUEL/TOLL,Transportation,800.0,2025,4
2025-05-01,FUEL/TOLL,Transportation,2153.35,2025,5
2025-05-01,SHOPRITE,Supplies,538.89,2025,5
2025-05-01,SPICE AND PACK,Other Expenses,7157.54,2025,5
2025-05-01,WASI,Raw Materials,9784.45,2025,5
2025-05-02,ELECTRICITY,Utilities,1500.0,2025,5
2025-05-02,FUEL/TOLL,Transportation,800.0,2025,5
2025-05-02,SHOPRITE,Supplies,274.95,2025,5
2025-05-02,T/BANTU SWEETS,Raw Materials,180.0,2025,5
2025-05-02,WASI,Raw Materials,6539.52,2025,5
2025-05-03,WAGES,Labor,19450.0,2025,5
2025-05-03,WASI,Raw Materials,7129.44,2025,5
2025-05-04,OTHER,Other Expenses,54.99,2025,5
2025-05-05,FUEL/TOLL,Transportation,1431.25,2025,5
2025-05-05,OTHER,Other Expenses,357.0,2025,5
2025-05-05,SHOPRITE,Supplies,599.9,2025,5
2025-05-05,WASI,Raw Materials,10492.33,2025,5
2025-05-06,FUEL/TOLL,Transportation,1523.2,2025,5
2025-05-06,WASI,Raw Materials,3947.77,2025,5
2025-05-07,FUEL/TOLL,Transportation,800.08,2025,5
2025-05-08,ELECTRICITY,Utilities,700.0,2025,5
2025-05-08,FUEL/TOLL,Transportation,500.0,2025,5
2025-05-08,SHOPRITE,Supplies,667.86,2025,5
2025-05-08,WASI,Raw Materials,6519.62,2025,5
