Date,Category,Category Group,Amount,Year,Month
2025-02-27,SHOPRITE,Supplies,359.91,2025,2
2025-02-27,SOAP CENTRE,Other Expenses,370.0,2025,2
2025-02-27,TOLL GATES,Transportation,79.0,2025,2
2025-02-27,TOLL GATES,Transportation,79.0,2025,2
2025-02-27,WASI,Raw Materials,8827.49,2025,2
2025-02-28,DIESEL,Other Expenses,800.0,2025,2
2025-02-28,WESTVAAL,Other Expenses,4797.69,2025,2
2025-03-01,ELECTRICITY,Utilities,1500.0,2025,3
2025-03-01,SHOPRITE,Supplies,279.93,2025,3
2025-03-01,WASI,Raw Materials,8599.61,2025,3
2025-03-03,DIESEL,Other Expenses,800.0,2025,3
2025-03-03,FAMILY STORE,Other Expenses,154.0,2025,3
2025-03-03,FAMILY STORE,Other Expenses,39.99,2025,3
2025-03-03,MAGIC STORE,Other Expenses,101.0,2025,3
2025-03-03,SOAP CENTRE,Other Expenses,260.0,2025,3
2025-03-03,WASI,Raw Materials,6507.63,2025,3
2025-03-04,BACK 2 BASICS,Other Expenses,133.0,2025,3
2025-03-04,CHIPKINS,Raw Materials,5681.0,2025,3
2025-03-04,DIESEL,Other Expenses,1090.25,2025,3
2025-03-04,HOME & PARTY STORE,Other Expenses,85.0,2025,3
2025-03-04,OBARO,Other Expenses,573.0,2025,3
2025-03-04,SHOPRITE,Supplies,319.92,2025,3
2025-03-04,TOLL GATE,Transportation,81.0,2025,3
2025-03-04,TOLL GATE,Transportation,81.0,2025,3
2025-03-04,WASI,Raw Materials,7318.55,2025,3
2025-03-05,DIESEL,Other Expenses,800.0,2025,3
2025-03-06,AE BARB CS,Other Expenses,379.25,2025,3
2025-03-06,CHIPKINS,Raw Materials,4358.5,2025,3
2025-03-06,DIESEL,Other Expenses,800.0,2025,3
2025-03-06,SHOPRITE,Supplies,319.92,2025,3
2025-03-06,WASI,Raw Materials,7386.52,2025,3
2025-03-07,AE BARB CS,Other Expenses,165.98,2025,3
2025-03-07,ALPHA-PHARM,Other Expenses,200.87,2025,3
2025-03-07,DIESEL,Other Expenses,800.08,2025,3
2025-03-07,MICA,Other Expenses,76.0,2025,3
2025-03-07,OBARO,Other Expenses,344.1,2025,3
2025-03-07,SOAP CENTRE,Other Expenses,240.0,2025,3
2025-03-07,WAGES,Labor,18610.0,2025,3
2025-03-08,DIESEL,Other Expenses,700.0,2025,3
2025-03-08,MAKRO,Supplies,3258.8,2025,3
2025-03-08,SHOPRITE,Supplies,163.96,2025,3
2025-03-08,WASI,Raw Materials,3311.83,2025,3
2025-03-09,DIESEL,Other Expenses,800.0,2025,3
2025-03-09,PNP,Other Expenses,302.3,2025,3
2025-03-09,PNP,Other Expenses,768.4,2025,3
2025-03-09,SHOPRITE,Supplies,319.92,2025,3
2025-03-09,WASI,Raw Materials,8701.53,2025,3
2025-03-10,DIESEL,Other Expenses,800.0,2025,3
2025-03-10,ELECTRICITY/AE BARB CS,Utilities,1549.0,2025,3
2025-03-10,HYPER SWEETS,Raw Materials,1200.0,2025,3
2025-03-10,SHOPRITE,Supplies,404.91,2025,3
2025-03-10,TBANTU,Other Expenses,180.0,2025,3
2025-03-10,WASI,Raw Materials,7112.6,2025,3
2025-03-11,CHIPKINS,Raw Materials,19333.8,2025,3
2025-03-11,DIESEL,Other Expenses,583.24,2025,3
2025-03-11,SHOPRITE,Supplies,359.92,2025,3
2025-03-11,SPICE AND PACK,Other Expenses,4771.7,2025,3
2025-03-11,TOLL GATE,Transportation,81.0,2025,3
2025-03-11,TOLL GATE,Transportation,81.0,2025,3
2025-03-11,WASI,Raw Materials,6523.64,2025,3
2025-03-12,DIESEL,Other Expenses,800.0,2025,3
2025-03-12,DIESEL,Other Expenses,600.0,2025,3
2025-03-13,SHOPRITE,Supplies,224.95,2025,3
2025-03-13,WASI,Raw Materials,144.99,2025,3
2025-03-13,WASI,Raw Materials,6290.62,2025,3
2025-03-14,DIESEL,Other Expenses,500.0,2025,3
2025-03-15,ELECTRICITY,Utilities,1500.0,2025,3
2025-03-15,SHOPRITE,Supplies,359.92,2025,3
2025-03-15,WAGES,Labor,17855.0,2025,3
2025-03-15,WASI,Raw Materials,7462.66,2025,3
2025-03-16,AE BARB CS,Other Expenses,85.98,2025,3
2025-03-16,AE BARB CS,Other Expenses,109.0,2025,3
2025-03-16,MISS SUPERMARKET,Other Expenses,1116.0,2025,3
2025-03-17,ACE,Other Expenses,1517.45,2025,3
2025-03-17,AE BARB CS,Other Expenses,105.98,2025,3
2025-03-17,CHIPKINS,Raw Materials,18571.13,2025,3
2025-03-17,DIESEL,Other Expenses,800.0,2025,3
2025-03-17,DIESEL,Other Expenses,700.0,2025,3
2025-03-17,HOME & PARTY STORE,Other Expenses,700.0,2025,3
2025-03-17,MAKRO,Supplies,778.0,2025,3
2025-03-17,MISS SUPERMARKET,Other Expenses,505.0,2025,3
2025-03-17,OBARO,Other Expenses,573.0,2025,3
2025-03-17,PNP,Other Expenses,241.12,2025,3
2025-03-17,SHOPRITE,Supplies,359.92,2025,3
2025-03-17,SOAP CENTRE,Other Expenses,759.0,2025,3
2025-03-17,WASI,Raw Materials,8474.49,2025,3
2025-03-18,BACK 2 BASICS,Other Expenses,133.0,2025,3
2025-03-18,DIESEL,Other Expenses,1138.37,2025,3
2025-03-18,OBARO,Other Expenses,819.4,2025,3
2025-03-18,SHOPRITE,Supplies,314.93,2025,3
2025-03-18,TOLL GATE,Transportation,81.0,2025,3
2025-03-18,TOLL GATE,Transportation,81.0,2025,3
2025-03-18,WASI,Raw Materials,7198.61,2025,3
2025-03-19,DIESEL,Other Expenses,800.0,2025,3
2025-03-20,DIESEL,Other Expenses,800.0,2025,3
2025-03-20,SPICE AND PACK,Other Expenses,7157.54,2025,3
2025-03-20,WASI,Raw Materials,4906.73,2025,3
2025-03-21,DIESEL,Other Expenses,800.0,2025,3
2025-03-23,SHOPRITE,Supplies,404.91,2025,3
2025-03-23,SHOPRITE,Supplies,249.95,2025,3
2025-03-23,WASI,Raw Materials,9647.24,2025,3
2025-03-24,AE BARB CS,Other Expenses,91.99,2025,3
2025-03-24,CHIPKINS,Raw Materials,16974.0,2025,3
2025-03-24,PNP,Other Expenses,301.13,2025,3
2025-03-24,SHOPRITE,Supplies,404.91,2025,3
2025-03-24,WASI,Raw Materials,7646.45,2025,3
2025-03-25,AE BARB CS,Other Expenses,98.0,2025,3
2025-03-25,BACK 2 BASICS,Other Expenses,50.0,2025,3
2025-03-25,CAVALIERI CHEESE,Other Expenses,575.0,2025,3
2025-03-25,DIESEL,Other Expenses,1299.61,2025,3
2025-03-25,DIESEL,Other Expenses,500.0,2025,3
2025-03-25,HYPER SWEETS,Raw Materials,600.0,2025,3
2025-03-25,MAKRO,Supplies,1327.8,2025,3
2025-03-25,SHOPRITE,Supplies,404.91,2025,3
2025-03-25,SOAP CENTRE,Other Expenses,480.0,2025,3
2025-03-25,TBANTU,Other Expenses,180.0,2025,3
2025-03-25,TBANTU,Other Expenses,76.0,2025,3
2025-03-25,TOLL GATE,Transportation,81.0,2025,3
2025-03-25,TOLL GATE,Transportation,81.0,2025,3
2025-03-25,WASI,Raw Materials,8418.33,2025,3
2025-03-26,DIESEL,Other Expenses,800.0,2025,3
2025-03-27,DIESEL/OIL,Other Expenses,850.0,2025,3
2025-03-27,EASY SPICE AND PACK,Other Expenses,7157.54,2025,3
2025-03-27,SHOPRITE,Supplies,404.91,2025,3
2025-03-27,WASI,Raw Materials,7935.61,2025,3
2025-03-28,CHIPKINS,Raw Materials,4358.5,2025,3
2025-03-28,DIESEL,Other Expenses,800.0,2025,3
2025-03-28,OBARO,Other Expenses,360.0,2025,3
2025-03-29,ELECTRICITY,Utilities,1500.0,2025,3
2025-03-29,SHOPRITE,Supplies,449.9,2025,3
2025-03-29,WAGES,Labor,16235.0,2025,3
2025-03-29,WASI,Raw Materials,10379.52,2025,3
2025-03-30,WASI,Raw Materials,184.98,2025,3
2025-03-31,CHIPKINS,Raw Materials,3708.75,2025,3
2025-03-31,DIESEL,Other Expenses,697.58,2025,3
2025-03-31,FUNCHAL CAFÉ & SUPERMARKET,Other Expenses,50.0,2025,3
2025-03-31,HOME & PARTY STORE,Other Expenses,85.0,2025,3
2025-03-31,SHOPRITE,Supplies,413.91,2025,3
2025-03-31,SOAP CENTRE,Other Expenses,870.0,2025,3
2025-03-31,WASI,Raw Materials,9033.42,2025,3
2025-04-01,CHIPKINS,Raw Materials,1713.5,2025,4
2025-04-01,DIESEL,Other Expenses,468.46,2025,4
2025-04-01,PNP,Other Expenses,32.99,2025,4
2025-04-01,SHOPRITE,Supplies,49.99,2025,4
2025-04-01,SHOPRITE,Supplies,335.92,2025,4
2025-04-01,TBANTU,Other Expenses,16.9,2025,4
2025-04-01,TOLL GATE,Transportation,81.0,2025,4
2025-04-01,TOLL GATE,Transportation,81.0,2025,4
2025-04-01,WASI,Raw Materials,7268.62,2025,4
2025-04-02,DIESEL,Other Expenses,800.0,2025,4
2025-04-03,CHIPKINS,Raw Materials,16537.0,2025,4
2025-04-03,DIESEL,Other Expenses,800.0,2025,4
2025-04-03,ELECTRICITY,Utilities,800.0,2025,4
2025-04-03,PNP,Other Expenses,91.98,2025,4
2025-04-03,PNP,Other Expenses,82.27,2025,4
2025-04-03,SHOPRITE,Supplies,449.91,2025,4
2025-04-03,SPICE AND PACK,Other Expenses,7157.54,2025,4
